model,domain,osworld_id,osworld_text,max_sim_to_training,nearest_training_id,nearest_training_text,exceeds_weakest_paraphrase,weakest_paraphrase_threshold,source_exhausted,exceeds_at_min,exceeds_at_p5,exceeds_at_p10
uae-large-v1,chrome,030eeff7-b492-4218-b312-701ec99ee0cc,Can you enable the 'Do Not Track' feature in Chrome to enhance my online privacy?,0.5052202939987183,package_free_cancellation_filter,I might change my plans — only show me packages with free cancellation.,0,0.8171660900115967,0,0,0,0
uae-large-v1,chrome,06fe7178-4491-4589-810f-2e2bc9502122,Can you make my computer bring back the last tab I shut down?,0.47910505533218384,trips_status_filter_cancelled,Switch the trips list to show only the cancelled bookings.,0,0.8171660900115967,0,0,0,0
uae-large-v1,chrome,0d8b7de3-e8de-4d86-b9fd-dd2dce58a217,Browse the natural products database.,0.5751760005950928,geo_hierarchy_spain_madrid,"From the country list, browse to Spain and then to Madrid.",0,0.8171660900115967,1,0,0,0
uae-large-v1,chrome,12086550-11c0-466b-b367-1d9e75b3910e,"Computer, please navigate to the area in my browser settings where my passwords are stored. I want to check my login information for Etsy without revealing it just yet.",0.5270235538482666,help_category_manage_booking,"In the Help Centre, open the 'Manage your booking' category and view its articles.",0,0.8171660900115967,0,0,0,0
uae-large-v1,chrome,121ba48f-9e17-48ce-9bc6-a4fb17a7ebba,Find Dota 2 game and add all DLC to cart.,0.554774820804596,currency_switch_eur,Switch the site currency to Euros.,0,0.8171660900115967,1,0,0,0
uae-large-v1,chrome,1704f00f-79e6-43a7-961b-cedd3724d5fd,"Find a large car from next Monday to Friday in Zurich, sorted by price.",0.7182366847991943,car_large_price_sort,I need a large rental car in Geneva — pull up the results ordered from cheapest to priciest.,0,0.8171660900115967,1,0,0,0
uae-large-v1,chrome,2888b4e6-5b47-4b57-8bf5-c73827890774,Show me all men's large-size short-sleeve shirts with a discount of 50% or more.,0.49407410621643066,package_sort_lowest_price,Sort these Flight + Hotel packages by lowest price first.,0,0.8171660900115967,1,0,0,0
uae-large-v1,chrome,2ad9387a-65d8-4e33-ad5b-7580065a27ca,Can you make a new folder for me on the bookmarks bar in my internet browser? Let's call it 'Favorites.',0.5082811713218689,help_category_manage_booking,"In the Help Centre, open the 'Manage your booking' category and view its articles.",0,0.8171660900115967,0,0,0,0
uae-large-v1,chrome,2ae9ba84-3a0d-4d4c-8338-3a1478dc5fe3,Lately I have changed my English name to Thomas. I want to update my username. Could you help me change the username in chrome profiles to Thomas?,0.53113853931427,currency_switch_eur,Switch the site currency to Euros.,0,0.8171660900115967,0,0,0,0
uae-large-v1,chrome,3299584d-8f11-4457-bf4c-ce98f7600250,"On my surface pro whenever I launch Chrome it always opens ""funbrain.com."" I don't want this. I cleared my cache but it still happens. What should I do?",0.4307296574115753,package_free_cancellation_filter,I might change my plans — only show me packages with free cancellation.,0,0.8171660900115967,0,0,0,0
